"#","English (found in UI)","Myanmar (fill in)","Coverage","Leftover EN (review)","Found in (file:line)"
"629","Select a PNG, JPG, or WebP photo containing a barcode or QR label","","partial","a or WebP photo containing label","src/components/common/CameraQrScannerModal.tsx:373"
"630","Select a work order to conduct QA checklist.","","partial","a work order to conduct checklist","src/components/qa/QualityAssuranceModule.tsx:497"
"631","Select a work order to log micro-soldering diagnostics.","","partial","a work order to log micro soldering diagnostics","src/components/microsoldering/MicroSolderingModule.tsx:278"
"632","Select card from catalog","","partial","card from","src/components/prices/PriceCatalogModule.tsx:717"
"633","Select Component from Inventory","","partial","Component from","src/components/suppliers/SupplierRmaModule.tsx:426"
"634","Select Custom Date Range","","partial","Custom Range","src/components/common/DateFilterSelector.tsx:281"
"635","Select Hardware Model to Edit","","partial","Hardware to","src/components/prices/PriceSettingsModal.tsx:553"
"636","Select model, category, and quality tier to generate","","partial","model category and quality tier to generate","src/components/inventory/InventoryManagementModule.tsx:1671"
"637","Select Notification Channel","","partial","tification Channel","src/components/common/CustomerNotificationModal.tsx:139"
"638","Select QA inspector","","partial","inspector","src/components/qa/QualityAssuranceModule.tsx:475"
"639","Select repair services with verified catalog pricing in MMK for","","partial","repair services with verified pricing in for","src/components/intake/CreateTicketSoloPage.tsx:1468"
"640","Select Supplier Name for Claim *","","partial","for Claim","src/components/inventory/InventoryManagementModule.tsx:2131"
"641","Select the default technician assigned when creating new intake tickets or B2B repairs.","","partial","the default technician assigned when creating new intake tickets or repairs","src/components/settings/SystemManagementSettingsModule.tsx:1813"
"642","Select your preferred system interface language. Supports English and Burmese (မြန်မာဘာသာ). UI defaults to English; Burmese is used for customer-facing messages.","","partial","your preferred system interface language Supports and Burmese defaults to is used for customer facing messages","src/components/settings/SystemManagementSettingsModule.tsx:1756"
"643","Selected","","partial","ed","src/components/prices/PriceCatalogModule.tsx:827"
"644","Selected Cart","","partial","ed Cart","src/components/prices/PriceCatalogModule.tsx:601"
"645","Selected Item","","partial","ed","src/components/common/ConfirmDeleteModal.tsx:57"
"646","Selected line","","partial","ed line","src/components/settings/SystemManagementSettingsModule.tsx:2821"
"647","Selected Model:","","partial","ed","src/components/intake/CreateTicketSoloPage.tsx:774"
"648","Selected Services & Repairs:","","partial","ed Services","src/components/pipeline/StatusPipelineView.tsx:891"
"649","Selected:","","partial","ed","src/components/devices/DeviceModelChooserModal.tsx:245; src/components/intake/CreateTicketSoloPage.tsx:1561"
"650","Send SMS / Viber / Telegram Notification","","partial","Send tification","src/components/pos/PosInvoicingModule.tsx:547"
"651","Serial Number & IMEI Information","","partial","Number","src/components/intake/CreateTicketSoloPage.tsx:860"
"652","Service Type:","","partial","Service","src/components/common/PrintableInvoiceModal.tsx:254"
"653","Services Selected","","partial","Services ed","src/components/prices/QuickPriceCalculatorModal.tsx:475"
"654","Settings saved to Supabase. The header database icon shows the live connection status.","","partial","saved to The header icon shows the live connection status","src/components/settings/SystemManagementSettingsModule.tsx:849"
"655","Shared quality options for every physical inventory part.","","partial","d quality options for every physical inventory part","src/components/settings/SystemManagementSettingsModule.tsx:2496"
"656","Shop Business Info & Operating Hours / Disclaimer Note","","partial","Shop Business Operating Hours Disclaimer","src/components/settings/SystemManagementSettingsModule.tsx:1526"
"657","Shop Finance, Profit & Loss (P&L) Engine","","partial","Shop Profit Loss Engine","src/components/finance/ShopFinancePlModule.tsx:322"
"658","Shop Identity & Logo Settings","","partial","Shop Identity Logo","src/components/settings/SystemManagementSettingsModule.tsx:1235"
"659","Shop Logo Image URL (Alternative to File Upload)","","partial","Shop Logo Image Alternative to File","src/components/settings/SystemManagementSettingsModule.tsx:1320"
"660","Shop Official Website URL","","partial","Shop icial Website","src/components/settings/SystemManagementSettingsModule.tsx:1484"
"661","Shop Settings source","","partial","Shop source","src/components/settings/SystemManagementSettingsModule.tsx:2677"
"662","Shop Support Email Address","","partial","Shop Support","src/components/settings/SystemManagementSettingsModule.tsx:1470"
"663","Showing","","partial","ing","src/components/common/RecycleBinModal.tsx:215; src/components/inventory/InventoryManagementModule.tsx:1378"
"664","sole permission to delete items","","partial","sole permission to delete","src/components/settings/SystemManagementSettingsModule.tsx:1089"
"665","Spare Parts Tags — A4 (","","partial","Spare Tags","src/components/inventory/InventoryManagementModule.tsx:2877"
"666","Spareparts Change (%)","","partial","Spareparts","src/components/settings/SystemManagementSettingsModule.tsx:3470"
"667","Specialized Apple Master Technician","","partial","Specialized Master","src/components/portal/CustomerFacingWebPortal.tsx:628"
"668","Standard English interface for ERP & Work Orders","","partial","Standard interface for","src/components/settings/SystemManagementSettingsModule.tsx:1775"
"669","Standard intake inspection recorded. All primary core sensors tested.","","partial","Standard intake inspection recorded primary core sensors tested","src/components/portal/CustomerFacingWebPortal.tsx:868"
"670","Standard Warranty Selection","","partial","Standard Warranty ion","src/components/intake/CreateTicketSoloPage.tsx:1401"
"671","Start Date","","partial","Start","src/components/common/DateFilterSelector.tsx:387"
"672","Status Action","","partial","Action","src/components/finance/ShopFinancePlModule.tsx:830"
"673","Status changes and updates recorded from the repair pipeline.","","partial","changes and updates recorded from the repair pipeline","src/components/common/TicketDetailInspectorModal.tsx:390"
"674","Status Queue & Stage Distribution","","partial","Distribution","src/components/dashboard/DashboardOverview.tsx:1076"
"675","Stockroom Asset Capital & Supplier Debts","","partial","room Asset Capital","src/components/finance/ShopFinancePlModule.tsx:544"
"676","Storage Bin Names","","partial","Storage s","src/components/settings/SystemManagementSettingsModule.tsx:2519"
"677","Store Contact & Location Information","","partial","Store Contact Location rmation","src/components/settings/SystemManagementSettingsModule.tsx:1378"
"678","Store Contact Phone Lines (Multiple Numbers Supported)","","partial","Store Contact Lines Multiple Numbers Supported","src/components/settings/SystemManagementSettingsModule.tsx:1391"
"679","Store Physical Address","","partial","Store Physical","src/components/settings/SystemManagementSettingsModule.tsx:1512"
"680","Submit Defective RMA","","partial","Defective","src/components/suppliers/SupplierRmaModule.tsx:485"
"681","Submit Payment","","partial","Payment","src/components/finance/ShopFinancePlModule.tsx:1147"
"682","Submit Request","","partial","Request","src/components/portal/CustomerFacingWebPortal.tsx:1067"
"683","Success Rate","","partial","Rate","src/components/dashboard/TechnicianPerformanceTab.tsx:224"
"684","Supplier Credit","","partial","Credit","src/components/finance/ShopFinancePlModule.tsx:1037"
"685","Supplier name","","partial","name","src/components/settings/SystemManagementSettingsModule.tsx:2461"
"686","Supplier Name (For Warranty / RMA Claim) *","","partial","For Warranty Claim","src/components/inventory/InventoryManagementModule.tsx:2047"
"687","Supplier Name Data","","partial","Data","src/components/settings/SystemManagementSettingsModule.tsx:2454"
"688","Supplier Purchase Orders & Defective RMA Returns","","partial","Purchase Orders Defective Returns","src/components/suppliers/SupplierRmaModule.tsx:163"
"689","Supplier records used when registering stock parts and RMA claims.","","partial","records used when registering stock parts and claims","src/components/settings/SystemManagementSettingsModule.tsx:2455"
"690","Supplier Short Code *","","partial","Short Code","src/components/inventory/InventoryManagementModule.tsx:2263"
"691","Switch Model","","partial","Switch","src/components/prices/PriceCatalogModule.tsx:481"
"692","Switch User / Operating Role","","partial","Switch Operating","src/components/common/UserRoleSwitcher.tsx:104"
"693","System Users & Role Access Control","","partial","System Access Control","src/components/settings/SystemManagementSettingsModule.tsx:1064"
"694","Table View","","partial","Table","src/components/intake/IntakeWorkOrderModule.tsx:273"
"695","Taken Out (Paid & Picked Up)","","partial","Picked Up","src/components/common/WorkOrderStatusTimeline.tsx:427"
"696","Target Device Folder","","partial","Target","src/components/prices/PriceSettingsModal.tsx:1069"
"697","Target Folder","","partial","Target","src/components/prices/PriceSettingsModal.tsx:1142"
"698","Target Service Category","","partial","Target Service","src/components/prices/PriceSettingsModal.tsx:1083"
"699","Target Status Transition","","partial","Target Transition","src/components/common/WorkOrderStatusTimeline.tsx:417"
"700","Tax ID / Business Reg No","","partial","Tax Business Reg","src/components/settings/SystemManagementSettingsModule.tsx:1498"
"701","Tech Notes","","partial","Tech","src/components/common/WorkOrderStatusTimeline.tsx:557"
"702","Tech Repair Notes:","","partial","Tech Repair","src/components/followup/CompletedDeviceFollowUpModule.tsx:508"
"703","Technician / Author Name","","partial","Author","src/components/common/WorkOrderStatusTimeline.tsx:472"
"704","Technician / Staff Salary","","partial","Salary","src/components/finance/ShopFinancePlModule.tsx:997"
